date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2021-09-03T17:29:28+00:00,binance,,swap_in,USDT,27.336,0,,LUNA,0.85,Binance Trade
2021-09-03T17:37:43+00:00,binance,,withdrawal,USDT,2773.828214,0,,,0,Binance Withdraw
2021-09-03T18:06:15+00:00,binance,,deposit,USDT,10164.58,0,,,0,Binance Deposit
2021-09-03T18:16:09+00:00,binance,,swap_out,USDT,10066.1878,10.989,FTM,FTM,10989,Binance Trade
2021-09-03T18:16:09+00:00,binance,,swap_in,FTM,10989,0,,USDT,10066.1878,Binance Trade
2021-09-03T18:16:17+00:00,binance,,swap_out,USDT,97.2232,0.106,FTM,FTM,106,Binance Trade
2021-09-03T18:16:17+00:00,binance,,swap_in,FTM,106,0,,USDT,97.2232,Binance Trade
2021-09-03T18:21:41+00:00,binance,,withdrawal,FTM,1E+1,0,,,0,Binance Withdraw
2021-09-03T18:44:41+00:00,binance,,withdrawal,FTM,11073.905,0,,,0,Binance Withdraw
2021-09-05T12:19:07+00:00,binance,,deposit,LUNA,209,0,,,0,Binance Deposit
2021-09-05T12:55:25+00:00,binance,,swap_out,LUNA,209.01,6.9206731,USDT,USDT,6920.6731,Binance Trade
2021-09-05T12:55:25+00:00,binance,,swap_in,USDT,6920.6731,0,,LUNA,209.01,Binance Trade
2021-09-05T12:55:57+00:00,binance,,swap_out,USDT,6913.9226,6.056,FTM,FTM,6056,Binance Trade
2021-09-05T12:55:57+00:00,binance,,swap_in,FTM,6056,0,,USDT,6913.9226,Binance Trade
2021-09-05T12:58:41+00:00,binance,,withdrawal,FTM,6049.944,0,,,0,Binance Withdraw
2021-09-07T17:42:08+00:00,binance,,deposit,LUNA,1035,0,,,0,Binance Deposit
2021-09-07T17:43:58+00:00,binance,,swap_out,LUNA,310.5,8.3835,USDT,USDT,8383.5,Binance Trade
2021-09-07T17:43:58+00:00,binance,,swap_in,USDT,8383.5,0,,LUNA,310.5,Binance Trade
2021-09-07T17:45:25+00:00,binance,,swap_out,LUNA,217.35,5.91192,USDT,USDT,5911.92,Binance Trade
2021-09-07T17:45:25+00:00,binance,,swap_in,USDT,5911.92,0,,LUNA,217.35,Binance Trade
2021-09-07T17:45:53+00:00,binance,,swap_out,LUNA,28.48,0.777504,USDT,USDT,777.504,Binance Trade
2021-09-07T17:45:53+00:00,binance,,swap_in,USDT,777.504,0,,LUNA,28.48,Binance Trade
2021-09-07T17:45:54+00:00,binance,,swap_out,LUNA,174.38,4.760574,USDT,USDT,4760.574,Binance Trade
2021-09-07T17:45:54+00:00,binance,,swap_in,USDT,4760.574,0,,LUNA,174.38,Binance Trade
2021-09-07T17:57:38+00:00,binance,,swap_out,USDT,6549.27507,0.0018346,ETH,ETH,1.8346,Binance Trade
2021-09-07T17:57:38+00:00,binance,,swap_in,ETH,1.8346,0,,USDT,6549.27507,Binance Trade
2021-09-07T17:58:34+00:00,binance,,swap_out,USDT,3505.6916,0.12824,LUNA,LUNA,128.24,Binance Trade
2021-09-07T17:58:34+00:00,binance,,swap_in,LUNA,128.24,0,,USDT,3505.6916,Binance Trade
2021-09-07T18:16:42+00:00,binance,,withdrawal,LUNA,1E+1,0,,,0,Binance Withdraw
2021-09-07T18:24:35+00:00,binance,,deposit,FTM,1E+1,0,,,0,Binance Deposit
2021-09-07T18:25:36+00:00,binance,,deposit,FTM,4303.539487,0,,,0,Binance Deposit
2021-09-07T18:34:02+00:00,binance,,swap_out,USDT,2146.940793,0.0006168,ETH,ETH,0.6168,Binance Trade
2021-09-07T18:34:02+00:00,binance,,swap_in,ETH,0.6168,0,,USDT,2146.940793,Binance Trade
2021-09-07T18:36:42+00:00,binance,,withdrawal,LUNA,422.40176,0,,,0,Binance Withdraw
2021-09-07T18:40:55+00:00,binance,,swap_out,FTM,961,1.5391376,USDT,USDT,1539.1376,Binance Trade
