date,asset,amount,revenue_pln,cost_basis_pln,gain_loss_pln,price_method,source,counterparty_asset,counterparty_amount,lots_consumed,year
2023-04-26,USDC,2705.7794,11289.10,10079.51,1209.59,nbp_eur,kraken,EUR,2455.22,1,2023
2023-05-22,USDC,4E+3,16762.15,14900.71,1861.44,nbp_eur,kraken,EUR,3694.79,1,2023
2023-06-05,USDC,3312.555,13983.42,12335.79,1647.63,nbp_eur,kraken,EUR,3097.24,2,2023
2023-06-21,USDC,3E+3,12174.64,11179.22,995.42,nbp_eur,kraken,EUR,2742.9,5,2023
2023-07-03,USDC,3E+3,12226.75,11275.20,951.55,nbp_eur,kraken,EUR,2747.4,1,2023
2023-07-19,USDC,3E+3,11840.37,11275.20,565.17,nbp_eur,kraken,EUR,2670.9,1,2023
2023-07-19,USDC,3E+3,11832.93,11249.69,583.25,nbp_usd,kraken,USD,2999.4,3,2023
2023-07-19,FTM,25714.17185,26215.66,44583.85,-18368.19,nbp_usd,kraken,USD,6645.1192,1,2023
2023-08-01,USDC,3E+3,12026.35,11205.60,820.75,nbp_eur,kraken,EUR,2724.9,1,2023
2023-08-15,USDC,3E+3,12162.46,11121.02,1041.43,nbp_eur,kraken,EUR,2741.7,3,2023
2023-08-23,USDC,1001.0903,4118.78,3710.07,408.71,nbp_eur,kraken,EUR,922.5,3,2023
2023-09-02,USDC,3000.0031,12458.74,11419.81,1038.93,nbp_eur,kraken,EUR,2783.33,1,2023
2023-09-10,USDC,4498.8241,19357.43,17041.20,2316.23,nbp_eur,kraken,EUR,4206.4,2,2023
2023-09-18,USDC,6000.0003,26019.90,22589.47,3430.43,nbp_eur,kraken,EUR,5619,8,2023
2023-10-17,USDC,3E+3,12750.32,11709.95,1040.38,nbp_eur,kraken,EUR,2845.8,5,2023
2023-11-05,USDC,6E+3,24933.24,23577.01,1356.23,nbp_eur,kraken,EUR,5594.3,2,2023
2023-11-27,USDC,6E+3,23961.58,25477.03,-1515.45,nbp_eur,kraken,EUR,5480.44,3,2023
2024-01-02,USDC,1E+3,3969.29,4502.33,-533.04,nbp_eur,kraken,EUR,912.9,2,2024
2024-01-03,USDC,2E+3,7963.19,9593.20,-1630.01,nbp_eur,kraken,EUR,1833.4,1,2024
2024-01-15,USDC,7E+3,27849.49,32128.50,-4279.00,nbp_eur,kraken,EUR,6391.31,3,2024
2024-01-29,USDC,6000.0015,24254.92,25191.29,-936.37,nbp_eur,kraken,EUR,5537.4,5,2024
2024-02-26,USDC,45433.8375,181354.79,188125.71,-6770.91,nbp_eur,kraken,EUR,41858.19,15,2024
2024-03-06,USDC,6000.0011,23773.97,23905.49,-131.52,nbp_eur,kraken,EUR,5499.67,3,2024
2024-03-26,USDC,38646.2716,153624.72,154676.13,-1051.42,nbp_eur,kraken,EUR,35651.23,5,2024
2024-04-02,USDC,6000.0006,24006.76,24030.00,-23.24,nbp_eur,kraken,EUR,5581.8,1,2024
2024-04-17,USDC,6000.0006,24306.09,24030.00,276.09,nbp_eur,kraken,EUR,5626.8,1,2024
2024-05-02,USDC,6000.0006,24226.94,24030.00,196.93,nbp_eur,kraken,EUR,5606.4,1,2024
2024-06-04,USDC,5051.9684,19878.91,20180.73,-301.83,nbp_eur,kraken,EUR,4642.76,3,2024
2024-06-18,USDC,26580.4163,107948.73,105936.54,2012.19,nbp_eur,kraken,EUR,24754.34,4,2024
2024-07-09,USDC,3998.0555,15732.73,15925.45,-192.72,nbp_eur,kraken,EUR,3677.59,1,2024
2024-07-23,USDC,3E+3,11772.98,11949.90,-176.92,nbp_eur,kraken,EUR,2750.89,1,2024
2024-08-02,USDC,3E+3,11854.02,11949.90,-95.88,nbp_eur,kraken,EUR,2761.63,1,2024
2024-08-16,USDC,1500.01,5830.10,5974.99,-144.89,nbp_eur,binance,EUR,1357.95233507,1,2024
2024-08-16,USDC,1499.9963,5833.39,5974.94,-141.54,nbp_eur,kraken,EUR,1358.72,1,2024
2024-09-03,USDC,2862.21357,11108.43,11402.47,-294.04,nbp_eur,binance,EUR,2594.7,2,2024
2024-09-03,USDC,132.70293,515.03,529.30,-14.27,nbp_eur,binance,EUR,120.3,1,2024
2024-09-17,USDC,1970.097299,7519.88,7857.93,-338.05,nbp_eur,binance,EUR,1758.91175466,1,2024
2024-10-01,USDC,3109.38394,12011.43,12402.09,-390.66,nbp_eur,binance,EUR,2807,1,2024
2024-10-15,ETH,0.575001,5846.97,1276.00,4570.97,nbp_eur,binance,EUR,1362.04,1,2024
2024-10-22,ETH,0.58011697,6061.63,1287.35,4774.28,nbp_eur,kraken,EUR,1403.87,1,2024
2024-10-23,USDC,1090.1285,4341.80,4393.62,-51.83,nbp_eur,kraken,EUR,1006,2,2024
2024-11-04,ETH,0.015,0.00,33.29,-33.29,unresolved,binance,,0,1,2024
2024-11-04,ETH,1.3151,12797.34,2918.37,9878.97,nbp_eur,binance,EUR,2939.89,1,2024
2024-11-19,USDC,1605.71268,6573.38,6533.16,40.21,nbp_eur,binance,EUR,1517.4,1,2024
2024-11-27,USDT,936.24534,3828.46,4111.05,-282.60,nbp_eur,binance,EUR,887.1,1,2024
2024-11-27,USDT,1012.0672,4137.60,4379.40,-241.81,nbp_eur,kraken,EUR,958.7313,2,2024
2024-12-03,USDT,3002.0764,12260.53,12651.54,-391.01,nbp_eur,binance,EUR,2856.4,4,2024
2024-12-10,USDT,2000.88915,8099.76,8399.33,-299.57,nbp_eur,binance,EUR,1902.2,2,2024
2024-12-17,USDC,3999.90708,16225.34,16251.10,-25.76,nbp_eur,binance,EUR,3806.8,2,2024
2025-01-16,USDC,4000.000001,16548.41,15999.35,549.06,nbp_eur,kraken,EUR,3883.6,3,2025
2025-01-16,USDC,1000.645,4139.66,4075.43,64.23,nbp_eur,binance,EUR,971.5,1,2025
2025-02-04,USDC,2998.14111,12273.53,12210.83,62.70,nbp_eur,binance,EUR,2901.2,1,2025
2025-02-04,USDC,0.10334,0.42,0.42,-0.00,nbp_eur,binance,EUR,0.09921139,1,2025
