date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2024-01-03T19:56:42+00:00,kraken,LN6PP3-N5ISK-D2PNBA,sell,USDC,2E+3,27.09,EUR,EUR,1833.4,Kraken Trade
2024-01-03T19:57:18+00:00,kraken,LW4P6H-76G2A-JMDBII,fiat_withdrawal,EUR,1805.31,1,EUR,,0,Kraken withdrawal (fiat)
2024-01-04T12:40:07+00:00,kraken,LPG5VM-RM252-VEZTBK,staking_reward,DOT,0.00292473,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-01-04T20:03:12+00:00,binance,,swap_out,BUSD,1.28123089,0,,FDUSD,1.28123089,Binance Convert
2024-01-04T20:03:12+00:00,binance,,swap_in,FDUSD,1.28123089,0,,BUSD,1.28123089,Binance Convert
2024-01-11T14:41:28+00:00,kraken,LEHWUZ-EAWTP-UCQWUQ,staking_reward,DOT,0.00290027,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-01-12T14:56:13+00:00,kraken,LJKLKU-3UXPA-ZS4H5K,deposit,USDC,5,0,,,0,Kraken deposit (stable_coin)
2024-01-12T14:56:13+00:00,kraken,LSPXH7-NLHFX-XXDRTX,deposit,USDC,6995,0,,,0,Kraken deposit (stable_coin)
2024-01-15T07:51:01+00:00,kraken,L3AX7N-PTNC7-3TO34D,sell,USDC,7E+3,94.45,EUR,EUR,6391.31,Kraken Trade
2024-01-15T07:51:46+00:00,kraken,L73PQM-4VOYW-UZL357,fiat_withdrawal,EUR,6295.86,1,EUR,,0,Kraken withdrawal (fiat)
2024-01-18T13:22:54+00:00,kraken,LMAZQZ-BCW6H-EIILTK,staking_reward,DOT,0.00290466,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-01-19T09:57:21+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-01-25T07:16:10+00:00,kraken,LRC3VJ-6HR3J-L745AK,staking_reward,DOT,0.00278551,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-01-29T08:45:05+00:00,kraken,LVW4KB-FTHLU-ZSHTJB,deposit,USDC,6000.0015,0,,,0,Kraken deposit (stable_coin)
2024-01-29T08:45:34+00:00,kraken,LMTN36-XOWNE-VWROHB,sell,USDC,6000.0015,81.83,EUR,EUR,5537.4,Kraken Trade
2024-01-29T08:49:25+00:00,kraken,LA5K5G-3ZL2L-RT54TR,fiat_withdrawal,EUR,1999,1,EUR,,0,Kraken withdrawal (fiat)
2024-01-29T08:49:45+00:00,kraken,L66OUW-YK4RO-PWMGQP,fiat_withdrawal,EUR,3454.57,1,EUR,,0,Kraken withdrawal (fiat)
2024-02-01T07:38:58+00:00,kraken,L56UYX-ZKOZI-MJ3S2X,staking_reward,DOT,0.00285531,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-02-08T08:13:18+00:00,kraken,LVWED5-AGTC4-PUICWG,staking_reward,DOT,0.0033447,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
2024-02-15T08:07:17+00:00,kraken,LUUOYB-7DSE7-GPEGXF,staking_reward,DOT,0.00346262,0,,,0,Kraken staking (staking_on_chain) raw_asset=DOT.S
