"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"L3PDA5-PFWC4-PDOW5D","ST3KJKC-KOYL4-HNBWF4","2023-01-03 05:35:04","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0018950000,0,1.7323197500
"LCELWD-PSAW5-RDXXLE","STQFXIE-VKJPN-4LZFWM","2023-01-06 05:19:58","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0014227300,0,1.7337424800
"L26RBD-DZ562-Y7DWGL","STBG3YC-NYT7W-KUP5EB","2023-01-10 05:29:19","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0018986200,0,1.7356411000
"LDUT67-7KZ7G-AUG6TR","FTEptLW-3V6nhXA3ftzZL7VSfDrP7s","2023-01-12 06:13:23","deposit","","currency","crypto","MATIC","spot / main",4291.4500000000,0,4291.4500000000
"LV7JRJ-ZNKRT-VJR42S","TS27ZFD-SCGGF-O7A6CH","2023-01-12 06:16:59","spend","","currency","crypto","MATIC","spot / main",-4291.4500000000,0,0.0000000000
"LES7RL-A6GAE-IHHKCJ","TS27ZFD-SCGGF-O7A6CH","2023-01-12 06:16:59","receive","","currency","fiat","EUR","spot / main",3528.8600,52.1500,3476.7168
"LN2F5Y-XOUNQ-JJSFON","TSFWO24-MKLKW-YV27RQ","2023-01-12 06:17:12","spend","","currency","fiat","EUR","spot / main",-3425.3300,51.3800,0.0068
"LI6FJD-NUGYG-PFU3JZ","TSFWO24-MKLKW-YV27RQ","2023-01-12 06:17:12","receive","","currency","crypto","BTC","spot / main",0.2034551400,0,0.2034639900
"LETGXS-Z3J7X-YRVZFX","FTeb43k-NyQ8k35StNCqHB5LWeLaZK","2023-01-12 06:24:03","withdrawal","","currency","crypto","BTC","spot / main",-0.2034500000,0.0000100000,0.0000039900
"L3RMCY-V55LV-WIXKC7","STIHFYQ-HB5CU-RSIXPE","2023-01-13 05:17:28","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0014254700,0,1.7370665700
"LX2RBH-K34OF-XVNYT3","STZBYYT-QEM3E-UCA5II","2023-01-17 05:29:33","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0019022700,0,1.7389688400
"LVUUSC-MB3MC-O2G3HV","STOIEXO-5L6XP-NPGKJ7","2023-01-20 05:19:47","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0014282000,0,1.7403970400
"LKDPH4-HWHY3-BJFONI","STNRG6G-M3D6Q-KX337R","2023-01-26 10:57:07","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0020429200,0,1.7424399600
"LNGOU2-Z4A6A-XMTVLD","FTCRXZn-oSKZLRWu0JIFUXPA4Y5L2N","2023-01-26 14:14:53","deposit","","currency","crypto","MATIC","spot / main",5673.0000000000,0,5673.0000000000
"LZBMSB-BVE2V-EOKDGL","TSM3777-5KQ5J-GBE24H","2023-01-26 14:15:20","spend","","currency","crypto","MATIC","spot / main",-5673.0000000000,0,0.0000000000
"LYEJCY-URVF2-VAYHYC","TSM3777-5KQ5J-GBE24H","2023-01-26 14:15:20","receive","","currency","fiat","EUR","spot / main",5595.0200,82.6900,5512.3368
"LCLJ4D-GC44L-JQMZGZ","FTg58kJ-oAIYJB7Tk8YlY2LCg7BN5P","2023-01-26 14:17:43","withdrawal","","currency","fiat","EUR","spot / main",-5512.2400,0.0900,0.0068
"LSK3ZY-JX2FB-4HMY4O","STWY6F7-DTFSG-KOURY7","2023-01-31 00:34:06","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0015860900,0,1.7440260500
"LZKG24-OUSGS-LZJFNN","ST6PBCK-VWKHF-WFG56L","2023-02-02 06:44:17","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0007520100,0,1.7447780600
"LD5IDN-CBVTG-XZPS7C","STNQS56-4YBSJ-PLTOBR","2023-02-09 06:34:40","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023406800,0,1.7471187400
"LK7UBI-GCEN5-H5YWNP","STZSMGC-RL4BN-UXEIZJ","2023-02-16 05:42:54","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023437900,0,1.7494625300
"LNO4JS-UJZED-NJVHOV","STFZXLQ-J2HMC-BO74JC","2023-02-23 07:10:21","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023469500,0,1.7518094800
"LBNK3G-M23I5-DVWW6J","FTbZXKW-nAwepdot6C77IIPvrvqq2O","2023-02-26 09:36:17","deposit","","currency","crypto","MATIC","spot / main",6299.0000000000,0,6299.0000000000
"LYH5FB-DBVIY-DUHTVM","TSDTW32-7UNJE-GJPXCS","2023-02-26 09:42:21","spend","","currency","crypto","MATIC","spot / main",-6299.0000000000,0,0.0000000000
"L7GK7R-NPXCG-LAHVAB","TSDTW32-7UNJE-GJPXCS","2023-02-26 09:42:21","receive","","currency","fiat","EUR","spot / main",7596.7100,112.2700,7484.4468
"LY72LA-WRHN4-YZDO55","FTQvWu1-3kb1HvsXaNj4snQb4G73Y2","2023-02-26 09:44:29","withdrawal","","currency","fiat","EUR","spot / main",-7484.3500,0.0900,0.0068
"LVEWCL-EOM23-KJXVVJ","STEDG2K-IEH7C-FR6R6F","2023-03-02 07:12:11","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023500800,0,1.7541595600
"LBIEHJ-CO3PS-ZNNWHJ","STHOYFI-WV4D3-OAW5FN","2023-03-09 07:11:29","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023532200,0,1.7565127800
"L54BDW-J2STX-GEWKHL","FTIeQs4-gkcHJp0sHCGTlGxMfJ6QhT","2023-03-14 07:34:24","deposit","","currency","crypto","MATIC","spot / main",13548.0000000000,0,13548.0000000000
"L4HLC3-GE2FC-SCGJE5","TSJS3ZI-X3MYW-72KFJL","2023-03-14 07:37:44","spend","","currency","crypto","MATIC","spot / main",-13548.0000000000,0,0.0000000000
"L4FIX6-LUABR-JWFUW5","TSJS3ZI-X3MYW-72KFJL","2023-03-14 07:37:44","receive","","currency","fiat","EUR","spot / main",14570.2100,215.3200,14354.8968
"LJFS7F-5EMEU-OG3M6T","FTc2m9Z-GeONchikmN8YZomkNONGr7","2023-03-14 07:40:13","withdrawal","","currency","fiat","EUR","spot / main",-14354.8000,0.0900,0.0068
"LKUZD3-CYMWV-NLGYFJ","STBIGCP-D6WQF-HKQ3PM","2023-03-16 07:22:13","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023563900,0,1.7588691700
"LZMBI3-IKPDV-XD5NHV","ST4QB5H-GYGUW-VVMEEZ","2023-03-23 07:12:13","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0023595300,0,1.7612287000
"LR4SIU-EUITU-MYGZ5N","STCL4MN-IETKZ-VESIHB","2023-03-30 07:17:34","staking","","currency","staking_on_chain","DOT.S","spot / main",0.0027002400,0,1.7639289400
