"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LWL444-GQZWK-VCLV3K","FTPSQJq-HaV0hwRxvnJfSaOaz4ZO9s","2020-11-27 09:43:02","deposit","","currency","fiat","EUR","spot / main",985.0000,0,985.0000
"LRWZLK-FE4IJ-YRAFPR","TSCBWTY-5N7XR-BRIUNS","2020-11-27 15:43:46","spend","","currency","fiat","EUR","spot / main",-400.0000,0,585.0000
"LNAYN5-IRQNJ-DV3TRS","TSCBWTY-5N7XR-BRIUNS","2020-11-27 15:43:46","receive","","currency","crypto","BTC","spot / main",0.0283449700,0,0.0283449700
"LYUBOK-5VWPL-T4IO6T","TSCTCFQ-4CVAJ-JCTXEQ","2020-11-27 15:44:38","spend","","currency","fiat","EUR","spot / main",-585.0000,0,0.0000
"LD4WKF-S4IJF-JDMHEV","TSCTCFQ-4CVAJ-JCTXEQ","2020-11-27 15:44:38","receive","","currency","crypto","ETH","spot / main",1.3810100000,0,1.3810100000
"LX7IDP-EYDUU-OAP2OS","FTEHXDl-qQwWA4Dl3Tu34AWMNkWkbQ","2020-12-01 09:08:40","withdrawal","","currency","crypto","ETH","spot / main",-1.3760100000,0.0050000000,0.0000000000
"LA77ZB-6T2QV-MFC55H","FTLGPUE-miK7jPGewWkpte8TP85bTy","2020-12-01 09:36:59","withdrawal","","currency","crypto","BTC","spot / main",-0.0278400000,0.0005000000,0.0000049700
"LD2K72-A7FCP-4RY6VC","FTWHATN-Z6giN86BUa2sJGu8sgqGbh","2020-12-03 16:38:09","deposit","","currency","fiat","EUR","spot / main",11000.0000,0,11000.0000
"LWKNHL-EZAFC-G334JB","FTOREqZ-HAkO1RgNf3A8G1jEdXXHNz","2020-12-04 09:54:07","deposit","","currency","fiat","EUR","spot / main",13000.0000,0,24000.0000
"LYP3ZO-YBXWE-BJE2TQ","TSX5GGX-UVDY2-ICLOS4","2020-12-04 10:32:31","spend","","currency","fiat","EUR","spot / main",-8000.0000,0,16000.0000
"LNM7ZA-UYTRO-HM44SJ","TSX5GGX-UVDY2-ICLOS4","2020-12-04 10:32:31","receive","","currency","crypto","ETH","spot / main",16.1465400000,0,16.1465400000
"LVUFQY-W6QK4-YZJLIM","FTBgOGi-BeCCdjV9R4dt2rNk0SJvB6","2020-12-04 10:41:40","withdrawal","","currency","crypto","ETH","spot / main",-16.1415400000,0.0050000000,0.0000000000
"LSKX57-IWW4O-EBJ2UN","TS3OMIF-GMT3J-NNEOBW","2020-12-04 11:58:42","spend","","currency","fiat","EUR","spot / main",-8000.0000,0,8000.0000
"LOIQBH-74IXX-KRGGFG","TS3OMIF-GMT3J-NNEOBW","2020-12-04 11:58:42","receive","","currency","crypto","ETH","spot / main",16.2465300000,0,16.2465300000
"LCGTGU-7MORL-MPMOVS","FTZukQ0-6mZmBGEoT7fn7tfkcK8I5E","2020-12-04 12:06:26","withdrawal","","currency","crypto","ETH","spot / main",-16.2415300000,0.0050000000,0.0000000000
"LNX7EZ-WMNWC-AZCO7V","TSTWET5-YDFYA-77DAJ4","2020-12-04 12:18:10","spend","","currency","fiat","EUR","spot / main",-8000.0000,0,0.0000
"L2PKHB-QFNC2-NIQXTO","TSTWET5-YDFYA-77DAJ4","2020-12-04 12:18:10","receive","","currency","crypto","ETH","spot / main",16.4207800000,0,16.4207800000
"LMNWFU-N2E23-TWP6XA","FTJynEZ-6crqVJafSq6kNnPqHfpYhc","2020-12-04 12:22:46","withdrawal","","currency","crypto","ETH","spot / main",-16.4157800000,0.0050000000,0.0000000000
"LU2TXT-GNPAT-DLAHQH","FTXYRJA-Ej6VwZhuZQ3CgmHTAjHJKC","2020-12-07 10:06:48","deposit","","currency","fiat","EUR","spot / main",7350.0000,0,7350.0000
"LZ5JB2-2EE2M-L2KVII","TSXW3UC-D77LN-X7ET63","2020-12-07 10:40:52","spend","","currency","fiat","EUR","spot / main",-3263.0000,0,4087.0000
"LAVYQB-GO6GZ-4VNEF7","TSXW3UC-D77LN-X7ET63","2020-12-07 10:40:52","receive","","currency","crypto","KSM","spot / main",73.9877231800,0,73.9877231800
"L3VN2E-7G6TC-2XFIN2","TSKD5WC-WJRQO-5E2WVO","2020-12-07 10:41:37","spend","","currency","fiat","EUR","spot / main",-3263.0000,0,824.0000
"LUDZ4R-4EKZM-KBMLT6","TSKD5WC-WJRQO-5E2WVO","2020-12-07 10:41:37","receive","","currency","crypto","DOT","spot / main",765.5150026500,0,765.5150026500
"LZQDWN-S3NDC-VX7SS7","FThJ6YL-gvIFA7rsrH2AWD4fPGgIp5","2020-12-07 10:47:01","transfer","spottostaking","currency","crypto","DOT","spot / main",-765.5150026500,0,0.0000000000
"LZPFAT-XS5VI-TCIW6U","FTBNXO8-FEOuYdi98maBdDSYeWoiTt","2020-12-07 10:47:10","transfer","stakingfromspot","currency","staking_on_chain","DOT.S","spot / main",765.5150026500,0,765.5150026500
"L4IAQ5-BMJZF-OC4BG3","FTdsEhg-Pj1pHpqIxEmbk2n3HWtAiv","2020-12-07 10:47:36","transfer","stakingfromspot","currency","staking_on_chain","KSM.S","spot / main",73.9877231800,0,73.9877231800
"LRKRDF-CCBUC-6IMEXZ","FThK2wB-ZWqA8XLQ0o1jks1I96toRH","2020-12-07 10:47:38","transfer","spottostaking","currency","crypto","KSM","spot / main",-73.9877231800,0,0.0000000000
"LY6PN2-247QS-GMVZBZ","STUNX4U-WB74S-MOLXNB","2020-12-08 07:15:33","staking","","currency","staking_on_chain","DOT.S","spot / main",0.1490056700,0,765.6640083200
"LA7BLD-TM3E5-NEKMU3","TSZ7FME-QC55G-QVDMUO","2020-12-08 11:54:08","spend","","currency","fiat","EUR","spot / main",-824.0000,0,0.0000
"LP2CKG-65RY5-6MW2ZY","TSZ7FME-QC55G-QVDMUO","2020-12-08 11:54:08","receive","","currency","crypto","BTC","spot / main",0.0522337800,0,0.0522387500
"LUQBBX-32JUG-2GCYWP","FTedNq7-7phu0tduM22SQPGgtqXasw","2020-12-08 13:13:22","withdrawal","","currency","crypto","BTC","spot / main",-0.0095000000,0.0005000000,0.0422387500
"LG4QUV-TEAT2-TM5UIG","FTkXiRJ-gbls4zd50UxhpaYamFL91h","2020-12-08 22:37:15","withdrawal","","currency","crypto","BTC","spot / main",-0.0417300000,0.0005000000,0.0000087500
"LKCQPY-FWLTU-XM6J6Q","STT7CMK-OBSFK-TWDJQN","2020-12-09 02:42:11","staking","","currency","staking_on_chain","KSM.S","spot / main",0.0397137700,0,74.0274369500
"LRYKQP-I6IOT-5LEK3R","FTQPZOM-7kYhP6Eg5xywzY7sSfDzmA","2020-12-09 09:38:52","deposit","","currency","fiat","EUR","spot / main",2400.0000,0,2400.0000
"LIHNI7-EK6ZB-XT3N74","TSRM4PT-JXCKB-GVO4CF","2020-12-09 09:53:47","spend","","currency","fiat","EUR","spot / main",-800.0000,0,1600.0000
"LUAHLO-QW6XX-5EU52N","TSRM4PT-JXCKB-GVO4CF","2020-12-09 09:53:47","receive","","currency","crypto","BTC","spot / main",0.0532440700,0,0.0532528200
"LU6P55-CYPDF-7SFFJH","TSZO2H3-IB2MD-GWC3AH","2020-12-09 09:55:41","spend","","currency","fiat","EUR","spot / main",-1600.0000,0,0.0000
"LJ3NPT-NSGVM-7WKLMT","TSZO2H3-IB2MD-GWC3AH","2020-12-09 09:55:41","receive","","currency","crypto","ETH","spot / main",3.4974400000,0,3.4974400000
"LAD5FN-GWJQ7-MYS5PF","FTYYy25-ZZL2IccywAGdHtk8jW3q81","2020-12-09 10:01:42","withdrawal","","currency","crypto","ETH","spot / main",-3.4924400000,0.0050000000,0.0000000000
