"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LBIJPY-5SMWN-GC2N7M","ST4YMDL-PEH45-NEQP5B","2022-01-04 11:17:42","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3729194400,0,1046.1860290700
"LMQSLF-W2IG2-T65KVR","STI5OF3-BL72C-UM2GS5","2022-01-07 11:14:41","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0309557000,0,1047.2169847700
"LUL47A-YY3SH-5353DL","ST6IKC4-OBD2N-6BTZCO","2022-01-11 11:25:50","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3760753900,0,1048.5930601600
"L7T5TR-F5D7W-QWZS77","STCJX24-AWQFZ-MCHK25","2022-01-14 11:24:29","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0333249700,0,1049.6263851300
"L4JHYV-ELPBG-ACTF3N","STBPG7G-YDBCA-JLCU6P","2022-01-18 11:41:11","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3792394600,0,1051.0056245900
"L7XEKT-QVBIU-SPBUZN","STRTNNS-CNVHB-VVK74G","2022-01-21 11:43:51","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0356980600,0,1052.0413226500
"LWCWWA-B4VBI-K7FRFX","STHOMQN-WM4MQ-NH66W7","2022-01-25 11:54:04","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3824084200,0,1053.4237310700
"LQN2HV-IV3JK-LG2L7N","STZ7ELH-FBPVB-P6FZIS","2022-01-28 11:48:48","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0380769700,0,1054.4618080400
"LGHANS-ZSSW6-ZQGXPZ","STLTJL3-BZOZC-F55JPI","2022-02-01 12:05:56","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3855879200,0,1055.8473959600
"LJWH26-SMX3R-FOHFCN","STHW5KJ-O4Y7S-5GUDAJ","2022-02-04 11:58:52","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0404616600,0,1056.8878576200
"LGQLK4-T5KRQ-XXYDGL","STEJ4O7-GJ7B6-3GB63A","2022-02-08 12:13:37","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3887732700,0,1058.2766308900
"LFBPXA-OFIM2-VXRNF4","STSFYKI-SLBMQ-QJ45QL","2022-02-11 12:09:00","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0428524400,0,1059.3194833300
"LIMI5H-GAJ6I-2HSUUF","STDNUAF-XF3UM-R2RU6K","2022-02-15 12:21:00","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3919662200,0,1060.7114495500
"LVQ44E-TQVWN-5MOMD7","STMU4CG-URP7E-LLCESM","2022-02-18 12:15:32","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0452494100,0,1061.7566989600
"LJHFMA-MN7ZZ-BE5LUF","STGQ4MA-YWLXE-MWBT2C","2022-02-22 12:28:24","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3951668000,0,1063.1518657600
"LWD7OO-OLK7U-DS7EVN","STAA7HY-ZTSH6-BPPSIK","2022-02-25 12:16:36","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0476519100,0,1064.1995176700
"LYWYZE-UPUNL-4UJNE4","STWY6ES-IEGAM-MLCDBR","2022-03-01 12:32:48","staking","","currency","staking_on_chain","DOT.S","spot / main",1.3983763500,0,1065.5978940200
"L5ACQM-ZJKNA-O6IJ2T","STPGRTS-F67IA-6YCFI4","2022-03-04 12:25:26","staking","","currency","staking_on_chain","DOT.S","spot / main",1.0500612300,0,1066.6479552500
