"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LV2J37-OR7A6-KU7RNX","ELNACY6-JV4EQ-ZVDPMD","2025-01-05 21:20:34","earn","reward","currency","crypto","DOT","earn / flexible",0.0026641004,0.0005328200,2.0344166136
"LFDQBL-AONXO-CCNTON","ELTJKFF-VKANC-DHE3U6","2025-01-12 21:20:39","earn","reward","currency","crypto","DOT","earn / flexible",0.0025499175,0.0005099835,2.0364565476
"LJ5SYQ-CWUSW-LB3HBM","FTfj9X9-VEst7DbVjQb5T5QgcFdbVh","2025-01-16 08:42:22","deposit","","currency","stable_coin","USDC","spot / main",3.00000000,0,3.00000100
"LFYPQO-IOQMY-KUY47V","FTbJduQ-sdIeoybIDZ3nOzzdJkOn1G","2025-01-16 08:45:16","deposit","","currency","stable_coin","USDC","spot / main",3997.00000000,0,4000.00000100
"LBRQMB-GF4FA-ZOBHHC","T7KIUP-SC5IU-PADH6J","2025-01-16 08:48:23","trade","tradespot","currency","stable_coin","USDC","spot / main",-4000.00000100,0,0.00000000
"LBDDY7-6MZFK-PL5BO5","T7KIUP-SC5IU-PADH6J","2025-01-16 08:48:23","trade","tradespot","currency","fiat","EUR","spot / main",3883.6000,7.7672,3875.8334
"LC3XBA-BULTE-YHOE62","FTh2XJb-Nh4VTyUsK3IOYhYBqaDu5b","2025-01-16 08:50:09","withdrawal","","currency","fiat","EUR","spot / main",-3874.8300,1.0000,0.0034
"LLIKBZ-RKRG2-LCKJ7I","EL7RAUD-YFMKM-EKENBQ","2025-01-19 21:21:07","earn","reward","currency","crypto","DOT","earn / flexible",0.0028295614,0.0005659122,2.0387201968
"LSP7P4-OGZIH-7WADE3","ELWBXCN-ZQ27W-JQZFOG","2025-01-26 21:20:51","earn","reward","currency","crypto","DOT","earn / flexible",0.0028717869,0.0005743573,2.0410176264
"LAL3U7-XTANP-4FNKBP","ELQJTWQ-SXSJE-WS3B7L","2025-02-02 21:21:13","earn","reward","currency","crypto","DOT","earn / flexible",0.0027889769,0.0005577953,2.0432488080
"LQEN7B-QXCU4-C5DYPO","ELIQGDU-QLCIA-ZYQXC6","2025-02-09 21:21:05","earn","reward","currency","crypto","DOT","earn / flexible",0.0028664144,0.0005732828,2.0455419396
"LGGPPF-2TKRY-GIGNI7","EL7F6LE-5QRCB-QZEG3Q","2025-02-16 21:20:38","earn","reward","currency","crypto","DOT","earn / flexible",0.0028382794,0.0005676558,2.0478125632
"LKOLRD-GDJUJ-QUANV4","ELN5LR7-H75ZG-QEADYO","2025-02-23 21:20:59","earn","reward","currency","crypto","DOT","earn / flexible",0.0027982583,0.0005596516,2.0500511699
"LMQ7G3-MYJ5K-APHKFB","EL37SXG-PXXNL-HNHJDX","2025-03-02 21:20:52","earn","reward","currency","crypto","DOT","earn / flexible",0.0027895296,0.0005579059,2.0522827936
"LBFHXX-JQ6VB-XSV4C7","ELUTOIC-SLWCB-K3FRQI","2025-03-09 21:21:10","earn","reward","currency","crypto","DOT","earn / flexible",0.0028751570,0.0005750314,2.0545829192
"LFRG2N-GT2KV-T3Z6WZ","EL34SXM-KLWXN-VW5CJV","2025-03-16 21:20:58","earn","reward","currency","crypto","DOT","earn / flexible",0.0028390126,0.0005678025,2.0568541293
"L5EW67-7ZUAT-G4SZ2Y","ELRPX5I-G5BSJ-W4J54A","2025-03-23 21:21:11","earn","reward","currency","crypto","DOT","earn / flexible",0.0028018613,0.0005603722,2.0590956184
"LZS7XQ-QVADA-464ZJB","ELFVKUN-MKPDX-C6KXE4","2025-03-30 21:20:44","earn","reward","currency","crypto","DOT","earn / flexible",0.0028018355,0.0005603671,2.0613370868
"LUODFX-OBOP2-HB7SLE","TREM74V-3UPFS-W4MRCF","2025-03-31 15:18:57","transfer","delistingconversion","currency","stable_coin","USDT","spot / main",-0.00006400,0,0.00000000
"L6BF5B-YN32I-X6VK3X","TRYK3YZ-Y3U3J-XI7SKJ","2025-04-01 06:18:55","transfer","delistingconversion","currency","stable_coin","USDC","spot / main",0.00006396,0,0.00006396
"L6RM6E-POQEE-CQIQL5","ELAUWLS-SJAOC-XWTPHN","2025-04-06 21:21:03","earn","reward","currency","crypto","DOT","earn / flexible",0.0028048856,0.0005609771,2.0635809953
"LUIFLO-KGGCZ-DX3MMU","ELMPNKI-F6ZAG-S5BRBR","2025-04-13 21:20:56","earn","reward","currency","crypto","DOT","earn / flexible",0.0026813943,0.0005362788,2.0657261108
"LSGE54-D425F-B2IH3J","EL6FHVZ-PNH54-AITL62","2025-04-20 21:21:15","earn","reward","currency","crypto","DOT","earn / flexible",0.0027079233,0.0005415846,2.0678924495
"LCGNS4-DTAQM-CXF4MV","EL7ARJM-YSOC4-6ZTO72","2025-04-27 21:20:43","earn","reward","currency","crypto","DOT","earn / flexible",0.0026552869,0.0005310573,2.0700166791
"LOQMUF-D5U3S-A22JTG","EL6VEV3-ZYVEP-X7JL55","2025-05-04 21:21:05","earn","reward","currency","crypto","DOT","earn / flexible",0.0027413155,0.0005482631,2.0722097315
"LP6B2R-ZY4YU-RSYNK4","LA4OCK3-656TK-OUNAMB","2025-05-09 16:11:41","transfer","","currency","crypto","FTM","spot / main",-0.00000017,0,0.00000000
"LOG3XJ-IWSTK-RLXRSV","EL4UPHU-CJQCS-DEEHFK","2025-05-11 19:30:06","earn","reward","currency","crypto","DOT","earn / flexible",0.0026787038,0.0005357407,2.0743526946
"LQS2UF-VWYHV-RWXQ7I","EL2XDC2-TMJDW-6JVMCC","2025-05-18 19:30:10","earn","reward","currency","crypto","DOT","earn / flexible",0.0026516543,0.0005303308,2.0764740181
"LYUEMD-YSHFT-NYFRSS","ELHQSB4-RAPW7-YH7KUS","2025-05-25 19:30:09","earn","reward","currency","crypto","DOT","earn / flexible",0.0026384448,0.0005276889,2.0785847740
"LS4EDI-JYSUZ-T57A72","ELR2LPE-7N2YZ-4BEYOT","2025-06-01 19:30:00","earn","reward","currency","crypto","DOT","earn / flexible",0.0026012926,0.0005202585,2.0806658081
"LCTAWP-YNBPZ-5ZT2VT","EL3TQS2-ETTCG-BDBS3D","2025-06-08 19:29:58","earn","reward","currency","crypto","DOT","earn / flexible",0.0026676915,0.0005335383,2.0827999613
"LNNHE2-ZTUEP-TRIMQN","ELOKL6I-VNAUX-GCJYQD","2025-06-15 19:30:20","earn","reward","currency","crypto","DOT","earn / flexible",0.0026704317,0.0005340863,2.0849363067
"LH5YUL-ZRLUE-BAV2L5","ELKVVN4-BMIF3-SAPKY5","2025-06-22 19:30:16","earn","reward","currency","crypto","DOT","earn / flexible",0.0026851568,0.0005370313,2.0870844322
"LPGEIH-JBZEN-52UXSP","ELMOQBW-HHV3M-BLM3GZ","2025-06-29 19:30:28","earn","reward","currency","crypto","DOT","earn / flexible",0.0027399185,0.0005479837,2.0892763670
"LCWPGB-XJJBO-K4VYQ4","ELJEBVH-D6CDU-NA3O7K","2025-07-06 19:30:31","earn","reward","currency","crypto","DOT","earn / flexible",0.0028989433,0.0005797886,2.0915955217
"LZSIJ2-XCECX-KQZFTL","ELLQS3J-EA5YN-WT6TSQ","2025-07-13 19:30:27","earn","reward","currency","crypto","DOT","earn / flexible",0.0029061859,0.0005812371,2.0939204705
"LC67LP-CRIZX-N32NSI","ELASQBY-E365C-2LXUJQ","2025-07-20 19:30:47","earn","reward","currency","crypto","DOT","earn / flexible",0.0026887259,0.0005377451,2.0960714513
"L2RUFS-OBACC-7GGNKV","ELW6QOK-L522M-GSZJEE","2025-07-27 19:29:42","earn","reward","currency","crypto","DOT","earn / flexible",0.0028481099,0.0005696219,2.0983499393
"L3PFOU-W3GIM-5GWENG","ELNJG7P-VW5E5-ZEUX7S","2025-08-03 19:29:39","earn","reward","currency","crypto","DOT","earn / flexible",0.0029879540,0.0005975908,2.1007403025
"LLYPKW-WJPMA-NNTXJ4","FTCVNkq-8m4uHsdacw7C8JxUDpjmjM","2025-08-07 12:44:02","deposit","","currency","fiat","EUR","spot / main",2.0000,0,2.0034
"LEZT2G-ZYI5X-WB2YMI","FTABUww-HJOqykeutKK73v9HeRnatA","2025-08-07 16:40:52","deposit","","currency","fiat","EUR","spot / main",4000.0000,0,4002.0034
"LSQF6S-KWAPB-CL57MD","EL53GWV-ZLVHP-MD2OZI","2025-08-07 19:41:47","earn","autoallocation","currency","crypto","DOT","spot / main",-0.0001906200,0,0.0000000000
"LW4A7Y-MKGU2-L6VUTW","EL53GWV-ZLVHP-MD2OZI","2025-08-07 19:41:47","earn","autoallocation","currency","crypto","DOT","earn / liquid",0.0001906200,0,0.0001906200
"LNXK3G-LQHA3-VBOB2B","EL53GWV-ZLVHP-MD2OZI","2025-08-07 19:41:47","earn","autoallocation","currency","crypto","SOL","spot / main",-0.0000063500,0,0.0000000000
"LMRR3P-OYKVI-JRUWB2","EL53GWV-ZLVHP-MD2OZI","2025-08-07 19:41:47","earn","autoallocation","currency","crypto","SOL","earn / liquid",0.0000063500,0,0.0000063500
"LVQM52-MVDKA-YN4UJT","EL53GWV-ZLVHP-MD2OZI","2025-08-07 19:41:47","earn","autoallocation","currency","crypto","ETH","spot / main",-0.0000002248,0,0.0000000000
"LC62NJ-ZKGME-ZD4TSC","EL53GWV-ZLVHP-MD2OZI","2025-08-07 19:41:47","earn","autoallocation","currency","crypto","ETH","earn / liquid",0.0000002248,0,0.0000002248
"LNCCZT-BXIDZ-2QEPCK","EL4ZEHS-6VA3G-3C5TV3","2025-08-07 19:42:52","earn","deallocation","currency","crypto","DOT","earn / flexible",-2.1007403025,0,0.0000000000
"LT7A7W-EF2KH-X4UV52","EL4ZEHS-6VA3G-3C5TV3","2025-08-07 19:42:52","earn","deallocation","currency","crypto","DOT","spot / main",2.1007403025,0,2.1007403025
"LHUJGX-6INJC-35GACD","ELORHVU-34N3Y-XZZ6UW","2025-08-07 19:42:52","earn","autoallocation","currency","crypto","DOT","spot / main",-2.1007403025,0,0.0000000000
