"txid","refid","time","type","subtype","aclass","subclass","asset","wallet","amount","fee","balance"
"LPOM7S-UAAOY-SDEN3C","FThGEie-xyyFHpbv60xbGooFhZJiTu","2024-07-09 20:53:07","withdrawal","","currency","fiat","EUR","spot / main",-3640.1800,1.0000,0.0068
"LDXOYB-7EE3C-UUFKSM","ELIDMY3-NUAPD-EWKEZS","2024-07-14 21:20:33","earn","reward","currency","crypto","DOT","earn / flexible",0.0035349886,0.0007069977,1.9650673133
"LMRSYD-SXMTP-PHCY6D","ELEFZUH-EF4LU-RU3FLP","2024-07-21 21:20:34","earn","reward","currency","crypto","DOT","earn / flexible",0.0035287823,0.0007057564,1.9678903392
"LJKHVA-EHKI2-5IKMN2","FTUMOb6-cywPXLkEKOhqqTH6PUPFrE","2024-07-23 13:33:26","deposit","","currency","stable_coin","USDC","spot / main",3000.00000000,0,3000.00000700
"LPYNIC-TUSQQ-YJE5OY","TSDNXAG-BPJWO-FZ6KSQ","2024-07-23 13:33:52","spend","","currency","stable_coin","USDC","spot / main",-3000.00000000,0,0.00000700
"LMXDRD-WN7HX-UAM7I4","TSDNXAG-BPJWO-FZ6KSQ","2024-07-23 13:33:52","receive","","currency","fiat","EUR","spot / main",2750.8900,27.2400,2723.6568
"LJK3RA-JHBU3-VN2WL7","FTPFPm1-qe7jEzoiM10gYE9VbNKN6W","2024-07-23 13:37:05","withdrawal","","currency","fiat","EUR","spot / main",-1999.0000,1.0000,723.6568
"LAT3SJ-X2HD6-YYHKNO","FTFwdBb-ROtyWL3CTYAOnWMKqiJRt1","2024-07-23 13:37:45","withdrawal","","currency","fiat","EUR","spot / main",-722.6500,1.0000,0.0068
"LJQOV2-TQMJC-3KKHZY","ELEJQG4-DIEWM-C76KJJ","2024-07-28 21:20:37","earn","reward","currency","crypto","DOT","earn / flexible",0.0035828784,0.0007165756,1.9707566420
"L4YENG-MOSIE-QIZQ2U","FTiPXka-Me17JYgY67sHeGLLG1IjED","2024-08-02 08:38:37","deposit","","currency","stable_coin","USDC","spot / main",3000.00000000,0,3000.00000700
"L7NSWZ-7TNFG-RLXUFX","TSI5JUF-QKLHD-WXFVFP","2024-08-02 08:45:10","spend","","currency","stable_coin","USDC","spot / main",-3000.00000000,0,0.00000700
"L5OQVR-QQOTE-PAOZPV","TSI5JUF-QKLHD-WXFVFP","2024-08-02 08:45:10","receive","","currency","fiat","EUR","spot / main",2761.6300,27.3400,2734.2968
"LWWXVQ-3WHOV-PIITXI","FTZYGVC-wUVtKyZFeW9aOLYjOPIxrQ","2024-08-02 08:46:09","withdrawal","","currency","fiat","EUR","spot / main",-2733.2900,1.0000,0.0068
"LHBAJW-XMGUD-RDMJ35","ELVWPIH-5Z6OI-XXILET","2024-08-04 21:20:56","earn","reward","currency","crypto","DOT","earn / flexible",0.0036825188,0.0007365037,1.9737026571
"LIHLBP-NA66D-HN2SBQ","ELDYAUB-WQ4MB-ZIROHH","2024-08-11 21:20:48","earn","reward","currency","crypto","DOT","earn / flexible",0.0035594281,0.0007118856,1.9765501996
"L7IUMT-FMWUC-SZKI3T","FTUsLLI-dhjUTm6rIJR8xafuZvqlN8","2024-08-16 09:45:17","deposit","","currency","stable_coin","USDC","spot / main",1499.99630000,0,1499.99630700
"LNFZEU-AKEM5-2K2ILC","TSTBSDZ-YPSI6-WDWO2H","2024-08-16 10:36:32","spend","","currency","stable_coin","USDC","spot / main",-1499.99630000,0,0.00000700
"LBCEOE-RANVL-YNZP4W","TSTBSDZ-YPSI6-WDWO2H","2024-08-16 10:36:32","receive","","currency","fiat","EUR","spot / main",1358.7200,13.4500,1345.2768
"LGSYRG-OHDR7-3QV72J","FTGMKXo-bvSaNBOtBAlXYPGi5eEoLK","2024-08-16 10:37:21","withdrawal","","currency","fiat","EUR","spot / main",-1344.2700,1.0000,0.0068
"LV2FIH-LEIR3-KKU7FP","ELX5HEF-LXVAZ-ZU5SPS","2024-08-18 21:20:40","earn","reward","currency","crypto","DOT","earn / flexible",0.0035759179,0.0007151835,1.9794109340
"L7WAAG-HAFT2-VLDYM3","ELGGVDN-Y7LJJ-PRRH6Q","2024-08-25 21:20:27","earn","reward","currency","crypto","DOT","earn / flexible",0.0036228212,0.0007245642,1.9823091910
"L3N44F-X5GYF-WQTEUV","ELXG3OF-VHBY4-VOE6BD","2024-09-01 21:20:42","earn","reward","currency","crypto","DOT","earn / flexible",0.0035217560,0.0007043512,1.9851265958
"LE4N5N-BHUJU-ORLZIW","ELSO2ET-PZ3VK-63WPCV","2024-09-08 21:21:05","earn","reward","currency","crypto","DOT","earn / flexible",0.0033745864,0.0006749172,1.9878262650
"LYDC4D-KE6RU-LSLTN7","ELG5HOG-HJXPD-6NJ4LL","2024-09-15 21:20:36","earn","reward","currency","crypto","DOT","earn / flexible",0.0035734441,0.0007146888,1.9906850203
"LEFQAE-KZBNY-TXKPYC","EL6FXPG-UY3WI-RFAVBF","2024-09-22 21:20:54","earn","reward","currency","crypto","DOT","earn / flexible",0.0035251903,0.0007050380,1.9935051726
"LEG6VP-JLTAE-FMHZAA","ELHT5QC-D4L7O-IDHAH5","2024-09-29 21:20:46","earn","reward","currency","crypto","DOT","earn / flexible",0.0035913065,0.0007182613,1.9963782178
"LCDVOB-M2VE4-NMZCZV","ELNWOGB-5LNUU-ITR2MX","2024-10-06 21:20:28","earn","reward","currency","crypto","DOT","earn / flexible",0.0035773575,0.0007154715,1.9992401038
"LN6XLX-KVTWJ-KVO47Q","ELQ2UVN-A6R6V-LTZZPL","2024-10-13 21:20:45","earn","reward","currency","crypto","DOT","earn / flexible",0.0037817198,0.0007563439,2.0022654797
"LQTTT2-BVCAF-IDAYJR","FTCadmj-qmpmUzSWlZzf5U4tGmoTsa","2024-10-15 11:27:11","deposit","","currency","crypto","ETH","spot / main",0.0100000000,0,0.0100020500
"LCBNU3-YHGTP-FXZAMQ","FTgoSDO-0gle014qrMh4eOQuXoE33t","2024-10-15 13:40:35","deposit","","currency","crypto","ETH","spot / main",0.5701149220,0,0.5801169720
"L2EXFH-E7NV4-T5ZL37","ELMMYTE-37OFG-PCZR4O","2024-10-20 21:20:29","earn","reward","currency","crypto","DOT","earn / flexible",0.0037452388,0.0007490477,2.0052616708
"LOLV6U-IY7ZC-WAKKXT","TS6U4YC-M73PQ-KY45EY","2024-10-22 11:52:14","spend","","currency","crypto","ETH","spot / main",-0.5801169700,0,0.0000000020
"LYOEJ3-ZFGHC-FV2YFN","TS6U4YC-M73PQ-KY45EY","2024-10-22 11:52:14","receive","","currency","fiat","EUR","spot / main",1403.8700,13.9000,1389.9768
"LQWLII-BKCRB-KZBEQJ","FTVp2sP-L1OcLsradioGKK9v24nS2v","2024-10-22 11:53:05","withdrawal","","currency","fiat","EUR","spot / main",-1388.9700,1.0000,0.0068
"L5RX7U-EHRYS-ORK4VO","FTSeNOA-hcSxbFc1rfQZsSDR9v9gRR","2024-10-22 12:20:57","deposit","","currency","stable_coin","USDC","spot / main",3.00000000,0,3.00000700
"LGOQJD-TGVCP-VOVH3S","FTNDU3N-EBlhgSGz17pzpXmQkPdNRz","2024-10-22 14:17:10","deposit","","currency","stable_coin","USDC","spot / main",1087.12849400,0,1090.12850100
"LOGEVU-CXZCP-63YYZK","TSWBSCB-RUYVX-V7ILS4","2024-10-23 16:10:41","spend","","currency","stable_coin","USDC","spot / main",-1090.12850000,0,0.00000100
"L74B5V-65B5H-JY3GLI","TSWBSCB-RUYVX-V7ILS4","2024-10-23 16:10:41","receive","","currency","fiat","EUR","spot / main",1006.0000,9.9600,996.0468
"LGCPG6-4FI44-THJY67","FTAwIkz-RKqpFqGLHprF8xgeDzM5k1","2024-10-23 16:11:14","withdrawal","","currency","fiat","EUR","spot / main",-995.0400,1.0000,0.0068
"L6XW77-PEDCA-R4DSTG","ELX43US-HITK5-5CQFUB","2024-10-27 21:21:02","earn","reward","currency","crypto","DOT","earn / flexible",0.0037969568,0.0007593913,2.0082992363
"LR7BEZ-X766B-6FX2SE","ELTNXKS-N6SQJ-ZIQGYX","2024-11-03 21:20:40","earn","reward","currency","crypto","DOT","earn / flexible",0.0037603749,0.0007520749,2.0113075363
"LEVH7N-IBT4R-3227SF","ELC2ZRS-CRUD2-T6E7YB","2024-11-10 21:20:55","earn","reward","currency","crypto","DOT","earn / flexible",0.0032803387,0.0006560677,2.0139318073
"LV7A3Q-RVAHF-YUB5AX","ELXIEYY-RXVWW-P4PIW6","2024-11-17 21:21:05","earn","reward","currency","crypto","DOT","earn / flexible",0.0041413876,0.0008282775,2.0172449174
"LAM46S-ZSKNK-EBCRWG","ELIE7Y4-EJGSG-P7RUGF","2024-11-24 21:20:55","earn","reward","currency","crypto","DOT","earn / flexible",0.0040516188,0.0008103237,2.0204862125
"LM6NHO-UC773-GBISXM","FTNAIyT-YESdmNCARKb4OHF7SCkZ4g","2024-11-27 21:35:13","deposit","","currency","crypto","ETH","spot / main",0.0200000000,0,0.0200000020
"LT4724-JFWWJ-V3APF5","FTKsK2x-5MSD6oURU1xjo3JzcAYhrW","2024-11-27 21:43:11","deposit","","currency","crypto","ETH","spot / main",0.2578702228,0,0.2778702248
"L5FCKC-6S5LW-QNUTVN","TZQDHZ-4Y7YQ-UJGCAC","2024-11-27 22:41:35","trade","tradespot","currency","crypto","ETH","spot / main",-0.2778700000,0,0.0000002248
"LLJD72-RAPEL-TU7Y6A","TZQDHZ-4Y7YQ-UJGCAC","2024-11-27 22:41:35","trade","tradespot","currency","stable_coin","USDT","spot / main",1016.13178000,4.06453000,1012.06726400
"LQI2CJ-JQDRP-XOL3GI","T5WCB5-ESJ7D-Y2UJWX","2024-11-27 22:42:18","trade","tradespot","currency","stable_coin","USDT","spot / main",-1012.06720000,0,0.00006400
"LLXUTM-T5AIM-UGMBR5","T5WCB5-ESJ7D-Y2UJWX","2024-11-27 22:42:18","trade","tradespot","currency","fiat","EUR","spot / main",958.7313,1.9175,956.8206
"L5XGKA-DFCDU-VGRFRK","FTjKC2K-7wXrG6Frnv8YLdybTFwvFQ","2024-11-27 22:42:57","withdrawal","","currency","fiat","EUR","spot / main",-955.8200,1.0000,0.0006
"LJ6XSD-DQJZ5-Y6XKQS","ELEWBY4-IQO4O-CDS5SA","2024-12-01 21:20:35","earn","reward","currency","crypto","DOT","earn / flexible",0.0034231151,0.0006846230,2.0232247046
"LP4FCY-5ALCB-GDTGGM","ELGVCCW-KKJFF-G36YXG","2024-12-08 21:20:30","earn","reward","currency","crypto","DOT","earn / flexible",0.0027801917,0.0005560383,2.0254488580
"LSZANS-HOAQY-NPYSR6","ELSUUJ4-I74LF-GSMEFG","2024-12-15 21:20:46","earn","reward","currency","crypto","DOT","earn / flexible",0.0028375676,0.0005675135,2.0277189121
"LE6G54-ULJIA-JPJZNR","ELOAY6I-GRZRT-PL7PQJ","2024-12-22 21:21:10","earn","reward","currency","crypto","DOT","earn / flexible",0.0028640648,0.0005728129,2.0300101640
"LQBOWL-QQFHL-GKF3AE","ELHJ7HA-XB777-AZ75WV","2024-12-29 21:20:54","earn","reward","currency","crypto","DOT","earn / flexible",0.0028439614,0.0005687922,2.0322853332
