user_id,time,account,operation,coin,change,remark,source_file,export_year
201486434,22-01-05 15:58:27,Spot,Transaction Spend,BUSD,-1857.226,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-05 15:58:27,Spot,Transaction Buy,UST,1855,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-05 15:58:27,Spot,Transaction Fee,UST,-1.855,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-05 16:02:42,Spot,Withdraw,UST,-1853.145,Withdraw fee is included,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-05 16:05:41,Spot,Withdraw,LUNA,-21.723217,Withdraw fee is included,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:20:06,Spot,Deposit,FTM,1,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:24:06,Spot,Deposit,FTM,7435,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-70,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-333,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-385,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Revenue,BUSD,333.2872,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-192,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Revenue,BUSD,2048.637,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-70,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Revenue,BUSD,516.6528,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Fee,BUSD,-1.9989672,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-90,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Revenue,BUSD,188.314,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-70,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Sold,FTM,-239,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
201486434,22-01-07 16:48:50,Spot,Transaction Revenue,BUSD,895.437,,Binance-Transaction-History-202603101622(UTC+1)_1264b94a - All transactions 2022.xlsx,2022
